,technique,topic,dialog length,average input size,average response time,average total score,mirroring,specificity,response-relatedness,question-asking
30,block,input_16,13,110.84615384615384,2.9096073554112363,16,4,4,4,4
31,embed,input_16,13,110.84615384615384,2.53946040226863,16,4,4,4,4
32,all,input_17,10,119.8,2.703594779968262,12,4,4,4,0
33,queue,input_17,10,119.8,2.080272889137268,13,4,4,4,1
34,block,input_17,10,119.8,2.9751250028610228,13,4,4,4,1
35,embed,input_17,10,119.8,2.002573013305664,13,4,4,4,1
36,all,input_18,7,88.42857142857143,1.728585856301444,15,4,4,4,3
37,queue,input_18,7,88.42857142857143,1.2763029507228307,15,4,4,4,3
38,block,input_18,7,88.42857142857143,2.0834219796316966,15,4,4,4,3
39,embed,input_18,7,88.42857142857143,2.4188337326049805,16,4,4,4,4
40,all,input_19,6,139.33333333333334,2.0827534993489585,15,4,4,4,3
41,queue,input_19,6,139.33333333333334,2.905887722969055,15,4,4,4,3
42,block,input_19,6,139.33333333333334,2.4957249561945596,15,4,4,4,3
43,embed,input_19,6,139.33333333333334,2.234551946322123,15,4,4,4,3
44,all,input_2,6,77.33333333333333,2.058099349339803,12,4,4,4,0
45,queue,input_2,6,77.33333333333333,1.7947064638137817,12,3,4,5,0
46,block,input_2,6,77.33333333333333,1.977285385131836,12,3,4,5,0
47,embed,input_2,6,77.33333333333333,1.7544358571370442,15,4,4,4,3
48,all,input_20,8,74.375,1.185543715953827,15,4,4,4,3
49,queue,input_20,8,74.375,0.9531309902667999,16,4,4,4,4
50,block,input_20,8,74.375,1.775250107049942,15,4,4,4,3
51,embed,input_20,8,74.375,1.6675760746002197,15,4,4,4,3
52,all,input_21,16,116.75,3.8717891722917557,20,5,5,5,5
53,queue,input_21,16,116.75,2.12080454826355,20,5,5,5,5
54,block,input_21,16,116.75,2.2106861919164658,20,5,5,5,5
55,embed,input_21,16,116.75,2.0222651809453964,20,5,5,5,5
56,all,input_22,9,94.11111111111111,0.9538177649180094,15,4,4,4,3
57,queue,input_22,9,94.11111111111111,1.3779390123155382,15,4,4,4,3
58,block,input_22,9,94.11111111111111,1.643983178668552,16,4,4,4,4
59,embed,input_22,9,94.11111111111111,1.93407146135966,15,4,4,4,3
60,all,input_23,7,85.14285714285714,1.9340802601405553,14,4,4,4,2
61,queue,input_23,7,85.14285714285714,1.5387329374040877,12,4,4,4,0
62,block,input_23,7,85.14285714285714,2.5639283997671947,14,4,4,5,1
63,embed,input_23,7,85.14285714285714,2.3516693796430315,13,4,4,4,1
64,all,input_24,14,105.78571428571429,3.113600560597011,13,4,4,4,1
65,queue,input_24,14,105.78571428571429,1.8586967502321516,16,4,4,4,4
66,block,input_24,14,105.78571428571429,2.4954304354531422,16,5,5,5,1
67,embed,input_24,14,105.78571428571429,2.7677914585386003,15,4,4,4,3
68,all,input_25,9,59.666666666666664,1.442065053515964,14,4,4,4,2
69,queue,input_25,9,59.666666666666664,1.295686297946506,13,4,4,4,1
70,block,input_25,9,59.666666666666664,2.236724270714654,13,4,4,4,1
71,embed,input_25,9,59.666666666666664,1.9968482123480902,13,4,4,4,1
72,all,input_26,7,104.42857142857143,1.7770661626543318,17,4,4,5,4
73,queue,input_26,7,104.42857142857143,1.4458066735948836,17,4,4,5,4
74,block,input_26,7,104.42857142857143,1.9201616219111852,17,4,4,5,4
75,embed,input_26,7,104.42857142857143,2.1891798291887556,15,4,4,4,3
76,all,input_27,15,114.06666666666666,4.763008626302083,12,3,3,4,2
77,queue,input_27,15,114.06666666666666,2.6290932337443036,13,4,4,4,1
78,block,input_27,15,114.06666666666666,2.722904920578003,15,4,4,4,3
79,embed,input_27,15,114.06666666666666,2.3306159814198812,13,4,4,4,1
80,all,input_28,6,80.83333333333333,2.3517425855000815,13,4,4,4,1
81,queue,input_28,6,80.83333333333333,2.2120447953542075,15,4,4,4,3
82,block,input_28,6,80.83333333333333,2.18851371606191,15,4,4,4,3
83,embed,input_28,6,80.83333333333333,2.1527414321899414,15,4,4,4,3
84,all,input_29,13,119.61538461538461,3.096600129054143,15,5,5,5,0
85,queue,input_29,13,119.61538461538461,1.9655252419985259,19,5,5,5,4
86,block,input_29,13,119.61538461538461,2.263753285774818,19,5,5,5,4
87,embed,input_29,13,119.61538461538461,2.4038869784428525,16,4,4,4,4
88,all,input_3,8,60.25,1.512384682893753,14,4,4,4,2
89,queue,input_3,8,60.25,1.3810595571994781,11,3,3,4,1
90,block,input_3,8,60.25,1.1142828464508057,11,3,3,4,1
91,embed,input_3,8,60.25,1.8205033838748932,15,4,4,4,3
92,all,input_30,6,75.33333333333333,1.1206035216649373,15,4,4,4,3
93,queue,input_30,6,75.33333333333333,1.0348522265752156,13,4,4,4,1
94,block,input_30,6,75.33333333333333,1.0569137334823608,13,4,4,4,1
95,embed,input_30,6,75.33333333333333,1.5336784919102986,14,4,4,4,2
96,all,input_4,12,61.666666666666664,1.2101989189783733,15,4,4,4,3
97,queue,input_4,12,61.666666666666664,1.1799826820691426,15,4,4,4,3
98,block,input_4,12,61.666666666666664,2.0190367499987283,14,4,4,4,2
99,embed,input_4,12,61.666666666666664,1.7238529324531555,14,3,4,4,3
100,all,input_5,8,53.25,1.1772246062755585,15,4,4,4,3
101,queue,input_5,8,53.25,1.7385875284671783,15,4,4,4,3
102,block,input_5,8,53.25,1.691737800836563,15,4,4,4,3
103,embed,input_5,8,53.25,1.468498319387436,15,4,4,4,3
104,all,input_6,11,59.63636363636363,2.261515053835782,12,4,4,4,0
105,queue,input_6,11,59.63636363636363,2.6787634762850674,8,1,1,5,1
106,block,input_6,11,59.63636363636363,1.4009256579659202,13,3,4,4,2
107,embed,input_6,11,59.63636363636363,1.9368829076940364,15,4,4,4,3
108,all,input_7,8,78.125,1.354361742734909,13,4,4,4,1
109,queue,input_7,8,78.125,1.3571560084819794,13,4,4,4,1
110,block,input_7,8,78.125,1.813547283411026,12,4,4,4,0
111,embed,input_7,8,78.125,1.7661113739013672,15,4,4,4,3
112,all,input_8,15,134.06666666666666,3.4783491770426433,16,5,5,5,1
113,queue,input_8,15,134.06666666666666,1.826023785273234,18,5,5,5,3
114,block,input_8,15,134.06666666666666,2.5132166067759196,20,5,5,5,5
115,embed,input_8,15,134.06666666666666,2.6843392213185626,18,5,5,5,3
116,all,input_9,9,87.88888888888889,2.8672827084859214,18,5,5,5,3
117,queue,input_9,9,87.88888888888889,1.4648912747701008,13,4,4,4,1
118,block,input_9,9,87.88888888888889,2.0711791780259876,16,5,5,5,1
119,embed,input_9,9,87.88888888888889,2.0418290032280817,15,4,4,4,3
